"LANGUAGE","Italiano","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"MOD_DESCRIPTION","Aggiungi effetto motion blur alla telecamera",""
"ENABLE_MOTION_BLUR_IN","Abilita motion blur nelle seguenti modalità:",""
"GAME","Gioco",""
"MAP_EDITOR","Editor mappe","Use the official Cities: Skylines translation for this term"
"ASSET_EDITOR","Editor risorse","Use the official Cities: Skylines translation for this term"
"THEME_EDITOR","Editor temi","Use the official Cities: Skylines translation for this term"
"SCENARIO_EDITOR","Editor scenari","Use the official Cities: Skylines translation for this term"
"VANILLA_CAM","Modalità telecamera vanilla (Modalità telecamera libera e Telecamera cinematografica)","Use the official Cities: Skylines translation for this term"
"FPC","Qualsiasi modalità di First Person Camera - Continued",""
"ACME_FPS","Modalità FPS di ACME",""
"PARAM","Parametri",""
"ALGO","Algoritmo",""
"ALGO_TOOLTIP","CameraMotion (Movimento telecamera): sfocatura in stile Valve calcolata dalla rotazione e dal movimento della telecamera.
LocalBlur (Sfocatura locale): semplice sfocatura lungo i vettori di velocità locale.
Reconstruction (Ricostruzione): esegue una sfocatura di movimento plausibile utilizzando la stima della velocità basata su tile.
ReconstructionDX11 (Ricostruzione DX11): versione di qualità superiore ottimizzata per DirectX 11.
ReconstructionDisc (Ricostruzione a disco): utilizza il campionamento del kernel a forma di disco per le prestazioni.","Keep the algorithm names (such as CameraMotion) unchanged. You may append the translation in parentheses after the name, e.g. 'CameraMotion (YOUR TRANSLATION)'."
"AVAILABLE_ONLY_TIP","Questa impostazione si applica solo quando ""{0}"" è impostato su CameraMotion.",""
"MOVEMENT_SCALE","Scala di movimento",""
"MOVEMENT_SCALE_TOOLTIP","Controlla quanto la traslazione della telecamera contribuisce alla sfocatura da movimento.
Valori più alti producono una sfocatura più evidente quando la telecamera si muove.",""
"ROTATION_SCALE","Scala di rotazione",""
"ROTATION_SCALE_TOOLTIP","Controlla quanto la rotazione della telecamera contribuisce alla sfocatura da movimento.
Valori più alti producono una sfocatura più intensa quando si gira.",""
"MAX_VELOCITY","Velocità massima",""
"MAX_VELOCITY_TOOLTIP","Imposta la lunghezza massima delle scie di sfocatura da movimento.
Valori più bassi producono una sfocatura più compatta; valori più alti consentono scie più lunghe.
Per i filtri basati su Reconstruction, questo valore è limitato a 10.",""
"MIN_VELOCITY","Velocità minima",""
"MIN_VELOCITY_TOOLTIP","Imposta la velocità minima al di sotto della quale non viene applicata alcuna sfocatura.
Valori più bassi causano la sfocatura anche di movimenti sottili.",""
"VELOCITY_SCALE","Scala di velocità",""
"VELOCITY_SCALE_TOOLTIP","Moltiplicatore globale applicato a tutti i vettori di velocità.
Aumenta per esagerare l'intensità della sfocatura da movimento.",""
"SOFT_Z_DISTANCE","Distanza Z morbida",""
"SOFT_Z_DISTANCE_TOOLTIP","Regola come le differenze di profondità influenzano le transizioni della sfocatura.
Valori più bassi creano una separazione più netta tra primo piano e sfondo; valori più alti li fondono in modo uniforme.",""
"JITTER","Instabilità",""
"JITTER_TOOLTIP","L'importo dell'offset casuale applicato alle posizioni di campionamento, che aiuta a ridurre gli artefatti di banding.
Valori più alti producono una sfocatura più morbida ma possono introdurre rumore visibile.",""
"TOGGLE_MOTION_BLUR","Attiva/Disattiva Sfocatura Movimento",""
"TOGGLE_MOTION_BLUR_TOOLTIP","Funziona in tutte le modalità. Tuttavia, quando si passa a una modalità menzionata sopra, lo stato verrà sovrascritto dalle sue impostazioni.",""
"RESET_SETTINGS","Reimposta impostazioni",""
